,genre,title,author,publish,publish_year,bunko,bunko_year,flag,publish_flag,bunko_flag,finish_date
0,加賀恭一郎,卒業―雪月花殺人ゲーム,東野圭吾,講談社,1986,講談社文庫,1989,0,0,0,
1,加賀恭一郎,眠りの森,東野圭吾,講談社,1989,講談社文庫,1992,0,0,0,
2,加賀恭一郎,どちらかが彼女を殺した,東野圭吾,講談社ノベルス,1996,講談社文庫,1999,0,0,0,
3,加賀恭一郎,悪意,東野圭吾,双葉社,1996,講談社文庫,2001,0,0,0,
4,加賀恭一郎,私が彼を殺した,東野圭吾,講談社ノベルス,1999,講談社文庫,2002,0,0,0,
5,加賀恭一郎,嘘をもうひとつだけ,東野圭吾,講談社,2000,講談社文庫,2003,0,0,0,
6,加賀恭一郎,赤い指,東野圭吾,講談社,2006,講談社文庫,2009,0,0,0,
7,加賀恭一郎,新参者,東野圭吾,講談社,2009,講談社文庫,2011,0,0,0,
8,加賀恭一郎,麒麟の翼,東野圭吾,講談社,2011,講談社文庫,2014,0,0,0,
9,加賀恭一郎,祈りの幕が下りる時,東野圭吾,講談社,2013,講談社文庫,2016,0,0,0,
10,加賀恭一郎,希望の糸,東野圭吾,講談社,2019,講談社文庫,2022,0,0,0,
11,加賀恭一郎,あなたが誰かを殺した,東野圭吾,講談社,2023,,ー,0,0,0,
12,加賀恭一郎,誰かが私を殺した,東野圭吾,講談社,未刊,,,0,0,0,
13,ガリレオ,探偵ガリレオ,東野圭吾,文藝春秋,1998,文春文庫,2002,0,0,0,
14,ガリレオ,予知夢,東野圭吾,文藝春秋,2000,文春文庫,2003,0,0,0,
15,ガリレオ,容疑者Xの献身,東野圭吾,文藝春秋,2005,文春文庫,2008,0,0,0,
16,ガリレオ,ガリレオの苦悩,東野圭吾,文藝春秋,2008,文春文庫,2011,0,0,0,
17,ガリレオ,聖女の救済,東野圭吾,文藝春秋,2008,文春文庫,2012,0,0,0,
18,ガリレオ,真夏の方方程式,東野圭吾,文藝春秋,2011,文春文庫,2014,0,0,0,
19,ガリレオ,虚像の道化師,東野圭吾,文藝春秋,2012,文春文庫,2015,0,0,0,
20,ガリレオ,ガリレオ7,東野圭吾,文藝春秋,2012,文春文庫,2015,0,0,0,
21,ガリレオ,禁断の魔術,東野圭吾,文藝春秋,2012,文春文庫,2015,0,0,0,
22,ガリレオ,ガリレオ8,東野圭吾,文藝春秋,2012,文春文庫,2015,0,0,0,
23,ガリレオ,沈黙のパレード,東野圭吾,文藝春秋,2018,文春文庫,2021,0,0,0,
24,ガリレオ,透明な螺旋,東野圭吾,文藝春秋,2021,文春文庫,2024,0,0,0,
25,浪花少年探偵団,浪花少年探偵団,東野圭吾,講談社,1988,講談社文庫,1991,0,0,0,
26,浪花少年探偵団,しのぶセンセにさよなら,東野圭吾,講談社,1993,講談社文庫,1996,0,0,0,
27,天下一大五郎,名探偵の掟,東野圭吾,講談社,1996,講談社文庫,1999,0,0,0,
28,天下一大五郎,名探偵の呪縛,東野圭吾,講談社ノベルス,1996,講談社文庫,2003,0,0,0,
29,笑小説,怪笑小説,東野圭吾,集英社,1995,集英社文庫,1998,0,0,0,
30,笑小説,毒笑小説,東野圭吾,集英社,1996,集英社文庫,1999,0,0,0,
31,笑小説,黒笑小説,東野圭吾,集英社,2005,集英社文庫,2008,0,0,0,
32,笑小説,歪笑小説,東野圭吾,集英社,2010,集英社文庫,2013,0,0,0,
33,マスカレード,マスカレード・ホテル,東野圭吾,集英社,2011,集英社文庫,2014,0,0,0,
34,マスカレード,マスカレード・イブ,東野圭吾,集英社(文庫書下),ー,集英社文庫,2014,0,0,0,
35,マスカレード,マスカレード・ナイト,東野圭吾,集英社,2017,集英社文庫,2020,0,0,0,
36,マスカレード,マスカレード・ゲーム,東野圭吾,集英社,2022,集英社文庫,2025,0,0,0,
37,マスカレード,マスカレード・ライフ,東野圭吾,集英社,2024,,ー,0,0,0,
38,雪山,白銀ジャック,東野圭吾,実業之日本社(文庫書下),ー,実業之日本社文庫,2010,0,0,0,
39,雪山,疾風ロンド,東野圭吾,実業之日本社(文庫書下),ー,実業之日本社文庫,2013,0,0,0,
40,雪山,雪煙チェイス,東野圭吾,実業之日本社(文庫書下),ー,実業之日本社文庫,2016,0,0,0,
41,雪山,恋のゴンドラ,東野圭吾,実業之日本社,2016,実業之日本社文庫,2019,0,0,0,
42,ラプラスの魔女,ラプラスの魔女,東野圭吾,KADOKAWA,2015,角川文庫,2018,0,0,0,
43,ラプラスの魔女,魔力の胎動,東野圭吾,KADOKAWA,2018,角川文庫,2021,0,0,0,
44,ラプラスの魔女,魔女と過ごした七日間,東野圭吾,KADOKAWA,2023,,ー,0,0,0,
45,ブラック・ショーマン,ブラック・ショーマンと名もなき町の殺人,東野圭吾,光文社,2020,光文社文庫,2023,0,0,0,
